user.screen_name,full_text,id
deeveedee__,immigrant parents saying “this shit is bussing” &gt;&gt;,1381458143729750021
angiepstevens,"Xenophobia is still something I encounter as a white European immigrant. I can’t even imagine what people of other backgrounds experience. 

Let me give you a thread about recent interactions that make me mad but also leave me with no concrete followup actions either.",1381458134330400770
IsVulva,"@giselle_nieblas Audience like it, SJW critics not.",1381457814300848130
FellForDilireba,"jojo is one of the worsrt stuck up FL i watch so far 
just bcz she has her own life problems doesnt give her the right to treat other ppl like trash 
her victim card was useless to me! https://t.co/rL5KPxBrUk",1381457798165196802
clovesgray,"I have many fully black family members as well. I worry for them every single day. My beautiful aunt, my uncle who is an immigrant from South Africa, the entirety of my dads side of the family. This America doesn’t want us to be safe, they want to see our downfall.",1381457758403330049
xiaokaeluc,"Me: 4th generation immigrant out of CN, highly westernized city born generation and lived abroad in ~the west~ for five years+

Also me: has an uncomfortable amount of knowledge about buddhist stuff especially re: the occult",1381457693215350785
saadalsaud16,@JGspeedy1 @MagisterIR @RoKhanna I really don’t care what you think. I started at 5.50$ an hour. I’m an immigrant and spoke no English when I came. So I really have NO sympathy for the ones who don’t try.,1381457560155357185
MsMacSee,"@oolon I don’t understand why anyone would want to flip to supporting conservatism, but I do understand I think I have experienced some of what he’s talking about. I have had self described “sjw’s” lie about me and be utter dicks to me because I have had a different opinion.",1381457505679720448
NhialMusic,"My white friends aren’t even super liberal but when they get on that white guilt shit it makes me sick

Can’t imagine beings friends with these white SJW I see on here",1381457314092253188
IsVulva,@gothic_heroine Cancel culture at it's best. SJW hypocrites.,1381457284795138052
DontlietoCece,"@mansoortshams Yeah once they see themselves arrested they began apologizing, if you are an immigrant you have no right to insult other immigrants cuz guess what, you ain’t better than them, you are the same as them, respect people, respect...we are all the same ..",1381457069434343426
NWordExperiment,Nigger.,1381457044348104707
AlwaysSydneyy,"Hey everyone, last night one of my best friends in law school lost her house in a fire. Please donate/share as much you can. She is a first-gen law student from a  immigrant family and we just want to help them get started on rebuilding: https://t.co/4wsAWCOs75",1381457026383933445
Copykarkewriter,"@_sabanaqvi @ttindia I am sure it was your father's acheivement that you rode to join ""The telegraph"" or was it playing of the minority victim card. If it was your talent then I pity people heading the organisation #thetelegraph #editorials #kolkatta",1381456990111555584
GoodGirlzClub,Nah I’m a nigger https://t.co/krJYrUxT96,1381456984420057088
tengoningunidea,@halfawall @wtfBulkLogan This does explain the Amazing Atheist and his variety of reactionary Youtubers in like 2014 that ultimately became Gamergate and the Alt Right. Same dynamic.,1381456956704047104
KeshavStrong,"@Sahibde85478049 @PunjabKingsIPL Don't play victim card, Khalistani means they want one more pakistan in the name of khalsa.
Who are serving the great bharat, they are not khalistani, they are our proud sikh brother.
Ye aandolan khalistan k fund par ho rha... Tum proud sikho ka name lekar victim card mt khelo.",1381456892375932928
BantusQuality,"@ttyg12233188 @AusNatKing @4YrsToday I'm a dumb white guy who grew up poor, but has white privilege cause some uppity rich nigger and a jew bitch told me so. It's 100% my fault that blacks fail in life cause math is racist and they need picture books of wakanda in grade school in order to succeed.

That better?",1381456889305821192
commons96055467,"@Juakar @Eloriel Not if I can help it! My teenage ideals about the goodness of Americans, when I boarded a plane to come to this country from thousand miles away as an immigrant, is still intact! We just need to work harder! Proud Boys? What Proud Boys?",1381456863829483521
oscar14596254,"@USEmbassyBogota And the immigrant visa ? For how long, American citizens, have to wait to have our wife’s here in USA??",1381456675710767108
AtreiLeonidas,"@FareedZakaria As a recent immigrant to America whose mother is 19 hours away by plane, that last part tore me up. I feel your pain. My condolences to you and your family. May she fare through well.",1381456556798005249
davesince89,"@Uptownsasquatc2 @DickJoh46904343 @ImNikkiLuv @tariqnasheed Ancestral land but you don’t own not a single property lmao, my immigrant ass owns more land and structure #practicewhatypupreach https://t.co/Q0TJh8nYMB",1381456526813106176
asinha007,"@Victim_Card_ Quite a few .. some prominent as per me .. alphabetically .. 
@AparBharat 
@BesuraTaansane 
@sidragh1 
And more ..",1381456141276733449
AlexKim06327165,I’m that one “triggered sjw snowflake” arguing against you on politics with an anime profile picture. 😌💅✨,1381456038642208770
CHRGOP,@carolinagirl63 Only an utter moron would believe such drivel. If it wasn't for the race card the left would have no argument about any topic.,1381456018182340608
HasansRandom,"@TuckerCarlson Bitch, regarding your anti-immigrant segment, your ancestors came here and violently took this country from Native Americans. Why don’t you get a real career. Screaming and yelling like an angry bitch on TV isn’t working for you.",1381455973836066819
manipulatorgod,It is incredibly painful talking to someone who desperately wants to be perceived as edgy and offensive but ends up spouting the same six 2016 anti sjw talking points and leafy jokes until their throat bleeds,1381455845167222785
dizzytaylor,"@bmckenz44559503 Just focus on that sh*tbird immigrant, Rupert Murdoch. Most evil man ever. Check out how media has changed since he bought into American news conglomerates!",1381455591239938048
QuentelEaton,"@marlon_humphrey @KyrieIrving The Rich people who under the media spot light. Trying to tell us it’s time to retire something that has been in our culture for more then 60 years. Black people change it from nigger to Nigga. It’s not what they call you, it’s what you answer to.",1381455565029838855
N1GGALBS,That’s exactly why y’all constantly equate other slurs to nigger when trying to justify why xyz can or can’t say it 🧚‍♀️ https://t.co/eAh9OmsEnt,1381455513003646977
immigrant_and,"If you do not want her to be a part of your adjustment of status, then you do not file the I-485 for her.  #Abuse of #H4. The I-485 form should contain a page where H4 spouse is giving her consent with a signature. H1B should not be able to drop H4 from I-485 WITHOUT that CONSENT",1381455462219059200
g3thedad,I hate when I hear black ppl talk shit about black owned business like target and Walmart give a fuck about your nigger monkey ass,1381455455495540737
Hail__To_You,"How does one interpret the curious rise of the ""Left-Wing SJW K-Pop Fan""?

I assume these people are generally socially inept and histrionic White females or LGBTQs in their teens or twenties (the latter mentally still hanging onto teen-age).",1381455442019299330
ItsyaboyRant,"Assuming that he’s referring to the word nigga, I disagree with this. African Americans turned the word nigger into a term of endearment (nigga), in order to cope/empower fellow African Americans during a time of great/brutal racial injustices. https://t.co/zrM0ksNXEj",1381455437485256705
tiffdelrio,"Yes 🌟 
I’m forever grateful for my undocumented immigrant community ♥️💎 https://t.co/3Nynla9RFY",1381455434343575552
TefferBear,"I’m sad that I never got to ask my dad about growing up as an immigrant kid in the Bronx, and I’m very determined to get as many of these stories as I can out of my aunt, because I bet there’s a lot more where that came from.",1381455409815375872
FairhavenDavid,@sullydish @AnnCoulter The illegal immigrant owner of a nearby store was deported back to Finland.,1381455327871213573
aquamarinelala,all the “how to talk to asian parents about anti-asian violence” discussions are based off of a self-entitled and denigrating stance fed to us by liberalism. our immigrant parents know more than us what it means to live under oppressive systems of white hegemony.,1381455232677388290
TessaDare,"Today I learned the Portuguese equivalent of “not all men” ... “nem todo homem”  

#notallmen, annoying in any language!",1381455064959610883
BhagwaBadshah,@sarabiaadmi @Palshri1234567 @Ask_Adiii @JibraanOP @gauravnigam90 @ruchikahooda @billu_the_spy @iamJinping @Victim_Card_ @yourjethaji @acousticankit @Ga6ru @Boiesji45 @Strangerwork @thakurJi__ aur mai first https://t.co/lkF2tpt3v2,1381454986626756611
America69919808,"@laurenboebert Id trade blah blah Bimboebert for an immigrant..

ANY DAY OF THE WEEK!

Deport Bimboebert TODAY!",1381454901130190848
paolacairo,"@FareedZakaria I’m sorry for your immense loss. What a thoughtful way to say goodbye to your Mom. Thank you for sharing this tribute to her big heart and talents. I’m an immigrant, an educator, a daughter and a Mom. These video brought tears: it’s the story of so many of us. https://t.co/XlAHieuNR0",1381454882876628994
Phil4436,@BretBaier @dreamloverepeat Bret you are too much the gentlemen when someone tries to play the race card on you.,1381454780229357570
makodottm,Lol got called a nigger on my birthday. Actually wasn’t mad,1381454612373381124
Nic4Nack,"@RoboRobMusic @marvet8813 @CJ2etc @FBI Don’t feel sorry for me — educated,  business owner, daughter of a wealthy immigrant and a Black woman. I’m so good.",1381454470274555909
TYLIONN,DID YOU JUST CALL ME A NIGGER https://t.co/AEvLurAb4g,1381454363810353155
nateMSU,Classic NextDoor thread - 50 replies about a black guy walking on the street. I post a reply mocking these not so subtle racists and within 5 minutes Karen soccer mom with 2 kids and a toy breed dog is accusing me of playing the “race card.” It’s so predictable. Jerks r the worst,1381454356923449345
raesimpgan,also he made me believe that me supporting and encouraging nb ppl was me being a sjw and now im wondering if i wouldve figured out this gender thing way before now if i never watched him,1381454342226579456
VA4653,"... But in every immigrant's story there is the sadness of a country, a culture, a family left behind...

Beautifully articulated @FareedZakaria  
May your mother Rest In Peace! https://t.co/KgYdqXqs7y",1381454340683087875
